+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|                 CLK_200M |               CLK_125M_1 |                                       nolabel_line150/SiTCP/SiTCP/GMII/GMII_TXBUF/rsmpBank0LastWrAddr_6/D|
|                 CLK_200M |               CLK_125M_1 |                                                nolabel_line150/SiTCP/SiTCP/GMII/GMII_TXBUF/irMemRdReq_0/D|
|                 CLK_200M |               CLK_125M_1 |                                      nolabel_line150/SiTCP/SiTCP/GMII/GMII_TXBUF/rsmpBank1LastWrAddr_10/D|
|                 CLK_200M |               CLK_125M_1 |                                       nolabel_line150/SiTCP/SiTCP/GMII/GMII_TXBUF/rsmpBank1LastWrAddr_4/D|
|                 CLK_200M |               CLK_125M_1 |                                       nolabel_line150/SiTCP/SiTCP/GMII/GMII_TXBUF/rsmpBank0LastWrAddr_3/D|
|                 CLK_200M |               CLK_125M_1 |                                       nolabel_line150/SiTCP/SiTCP/GMII/GMII_TXBUF/rsmpBank1LastWrAddr_5/D|
|                 CLK_200M |               CLK_125M_1 |                                       nolabel_line150/SiTCP/SiTCP/GMII/GMII_TXBUF/rsmpBank1LastWrAddr_7/D|
|                 CLK_200M |               CLK_125M_1 |                                       nolabel_line150/SiTCP/SiTCP/GMII/GMII_TXBUF/rsmpBank1LastWrAddr_6/D|
|                 CLK_200M |               CLK_125M_1 |                                       nolabel_line150/SiTCP/SiTCP/GMII/GMII_TXBUF/rsmpBank0LastWrAddr_4/D|
|                 CLK_200M |               CLK_125M_1 |                                       nolabel_line150/SiTCP/SiTCP/GMII/GMII_TXBUF/rsmpBank1LastWrAddr_8/D|
|                 CLK_200M |               CLK_125M_1 |                                       nolabel_line150/SiTCP/SiTCP/GMII/GMII_TXBUF/rsmpBank0LastWrAddr_1/D|
|                 CLK_200M |               CLK_125M_1 |                                       nolabel_line150/SiTCP/SiTCP/GMII/GMII_TXBUF/rsmpBank1LastWrAddr_3/D|
|                 CLK_200M |               CLK_125M_1 |                                       nolabel_line150/SiTCP/SiTCP/GMII/GMII_TXBUF/rsmpBank0LastWrAddr_8/D|
|                 CLK_200M |               CLK_125M_1 |                                       nolabel_line150/SiTCP/SiTCP/GMII/GMII_TXBUF/rsmpBank0LastWrAddr_2/D|
|                 CLK_200M |               CLK_125M_1 |                                       nolabel_line150/SiTCP/SiTCP/GMII/GMII_TXBUF/rsmpBank1LastWrAddr_2/D|
|                 CLK_200M |               CLK_125M_1 |                                       nolabel_line150/SiTCP/SiTCP/GMII/GMII_TXBUF/rsmpBank0LastWrAddr_0/D|
|                 CLK_200M |               CLK_125M_1 |                                       nolabel_line150/SiTCP/SiTCP/GMII/GMII_TXBUF/rsmpBank1LastWrAddr_9/D|
|                 CLK_200M |               CLK_125M_1 |                                       nolabel_line150/SiTCP/SiTCP/GMII/GMII_TXBUF/rsmpBank0LastWrAddr_5/D|
|                 CLK_200M |               CLK_125M_1 |                                       nolabel_line150/SiTCP/SiTCP/GMII/GMII_TXBUF/rsmpBank0LastWrAddr_7/D|
|                 CLK_200M |               CLK_125M_1 |                                       nolabel_line150/SiTCP/SiTCP/GMII/GMII_TXBUF/rsmpBank1LastWrAddr_0/D|
|                 CLK_200M |               CLK_125M_1 |                                       nolabel_line150/SiTCP/SiTCP/GMII/GMII_TXBUF/rsmpBank1LastWrAddr_1/D|
|                 CLK_200M |               CLK_125M_1 |                                      nolabel_line150/SiTCP/SiTCP/GMII/GMII_TXBUF/rsmpBank0LastWrAddr_10/D|
|                 CLK_200M |               CLK_125M_1 |                                       nolabel_line150/SiTCP/SiTCP/GMII/GMII_TXBUF/rsmpBank0LastWrAddr_9/D|
|                 CLK_200M |              GMII_RX_CLK |                                                   nolabel_line150/SiTCP/SiTCP/GMII/GMII_RXCNT/muxMyIp_1/D|
